vendor,price,category,name,vendor rating
katarinaa,USD 8,Other,540K HQ Combo SQLi Hit FORTNITE NETFLIX VPN SELLY STEAM MORE 2,0.0
g3cko,USD 1.98,Cracked,Very strong VIRUS - steal data and control any PC,4.1
g3cko,USD 2.08,Genuine,Password Recovery Shield Premium - hack passwords,4.1
breadsdrugged,USD 2.99,Hacking,LATEST Antidetect 7.3 +4000 CONFIGS,4.9
HarleyQuinn,USD 1.99,Methods,Hacking Secrets Revealed ebook - Instant Delivery,4.3
breadsdrugged,USD 89.99,Hacking,SOCKS5 CLEAN PROXY - ANY Country | RESIDENTIAL SOCKS | 14 days Duration,4.9
g3cko,USD 1.98,Genuine,WebcamMax keygen - unlock popular webcam app,4.1
breadsdrugged,USD 24.99,Malware,SOCKS5 CLEAN PROXY - ANY Country | RESIDENTIAL SOCKS | 3 days Duration,4.9
HarleyQuinn,USD 2.99,Methods,Ultimate MySQL Injection Tutorial For Beginners 100% NOOB FRIENDLY,4.3
breadsdrugged,USD 49.99,Exploit,The Most Powerful RAT Venom (550$) + Crypter + Binder 100% undetectable + XMR silent miner,4.9
digitalworld,USD 6.99,Genuine,-== MalwareBytes Lifetime Premium Key ==-,4.9
breadsdrugged,USD 3.99,Hacking,GUIDE CC/CVV TO GIFT CARDS >>Including VIDEO,4.9
DrunkDragon,USD 0.99,Other,HBO Now Brute Checker,4.3
TheDangerousTomato,USD 24.99,Malware,Red Line Stealer (Ultimate Software),4.7
katarinaa,USD 6,Other,"100k HQ Fresh Semi Private Mixed Combo list For VPNs, Netflix, Spotify, Runescape",0.0
katarinaa,USD 5,Other,"1 Million EmailPass Combolist VPN, Fortnite, Steam, Minecraft, Spotify, Netflix",0.0
GoldApple,USD 4.99,Malware,Ebay Phishing Pages + Tutorial,5.0
breadsdrugged,USD 14.99,Genuine,xDEDIC RDP SOFTWARE + PATCHER + FULL RDP Video Tutorial,4.9
breadsdrugged,USD 4.99,Services,ULTIMATE GUIDE Make BIG MONEY on DARKMARKETS,4.9
g3cko,USD 4.9,Genuine,Corel Painter 2019 - master in computer graphics,4.1
Fullzipp,USD 13,Methods,Bypassing 2FA WITH MODLISHKA UPDATED GUIDE,3.0
breadsdrugged,USD 3.99,Cracked,GUIDE CC/CVV TO GIFT CARDS >>Including VIDEO,4.9
HarleyQuinn,USD 3.99,Methods,Complete expert OPSEC setup - 2021 [You will be caught without],4.3
GoldApple,USD 4.99,Malware,Tangerine Phishing Pages + Tutorial,5.0
HarleyQuinn,USD 4.99,Malware,The Complete Advanced I.D. Creator Updated,4.3
blackmarket,USD 6,Other,NEW!!! 2000 Instagram Followers $6 + system access,5.0
HarleyQuinn,USD 2.99,Methods,Complete Expert OPSEC Setup [You will be caught without],4.3
breadsdrugged,USD 3.99,Malware,ORIGINAL - EASY BITCOIN STEALER WITH SOURCE CODE + COMPLETE GUIDE,4.9
Fullzipp,USD 13,Other,BITCOIN STEALER FULL SOFTWARE+TURTORIAL VIDEO,3.0
breadsdrugged,USD 3.99,Genuine,LATEST CASHOUT GUIDE CC/CVV Paypal to BTC,4.9
breadsdrugged,USD 4.99,Genuine,ULTIMATE GUIDE Make BIG MONEY on DARKMARKETS,4.9
HarleyQuinn,USD 1.99,Malware,SPY NOTE v5.0 - Android Remote Administration Tool - Instant Delivery,4.3
g3cko,USD 3.12,Genuine,New 2017 - Microsoft Office 2016 ProPlus 32/64 ISO,4.1
g3cko,USD 1.98,Genuine,Driver Genius PRO - Cracked,4.1
HarleyQuinn,USD 1.99,Malware,AndroRAT -Android Remote Admin Tool (RAT) - Instant Delivery,4.3
g3cko,USD 1.98,Genuine,NETGATE Registry Cleaner - clean all traces,4.1
g3cko,USD 2.08,Genuine,CorelDRAW Graphics Suite 2017 + Crack ! [Latest],4.1
breadsdrugged,USD 9.99,Exploit,"Genesis Market Invite Code Cookies, Fingerprints, Bots, Paypal, Bank logs, Amazon genesis.market",4.9
katarinaa,USD 7,Other,"I 150K Fresh Combo list I for fortNut, Netflix, Uplay, Spotify, Steam",0.0
mrq1234,USD 3.96,Software,VIP ULTIMATE PACKAGE OF PIRATE ITEMS WORTH 400$+ AND HOW TO MONETIZE IT!,5.0
HarleyQuinn,USD 1.99,Cracked,Adobe Photoshop CS6 Extended 13.1.2 Portable (64-bit) - Instant Delivery,4.3
Michelle,USD 3.99,Methods,Easy Bitcoin Stealer And Address Generator,4.7
g3cko,USD 5.19,Genuine,"Adobe Photoshop, Illustrator, InDesign - NEW 2017",4.1
blackmarket,USD 7.5,Other,NEW!!! 50K TIKTOK VIEWS *** $7.50 + system access,5.0
HarleyQuinn,USD 1.99,Methods,How To Make Your Own Mining Botnet - 5 pages - Instant Delivery,4.3
Fullzipp,USD 4,Cracked,Virus Builder / Kill Switch,3.0
g3cko,USD 4.15,Cracked,SketchUp Pro 2018 - best 3D design tool !,4.1
g3cko,USD 10,Cracked,Hide My Ass Pro VPN,4.1
g3cko,USD 2.59,Cracked,Hack any password - Passware Kit Forensic,4.1
breadsdrugged,USD 6.99,Other,LinkenSphere 6.7 MOD (7.0) - NEW GENERATION BROWSER FOR CARDING,4.9
HarleyQuinn,USD 1.99,Methods,Basic Mistakes That Lead To People Getting Arrested From Darknet,4.3
breadsdrugged,USD 3.99,Hacking,ULTIMATE LAUNDER MONEY. Convert illegal money,4.9
digitalworld,USD 12.99,Genuine,-== Windows 11 Pro (retail) ==-,4.9
blackmarket,USD 6,Genuine,Adobe Premiere Pro 2020 WINDOWS,5.0
HarleyQuinn,USD 3.99,Malware,The Ultimate Blackmail Bitcoin Ransomware - Instant Delivery,4.3
breadsdrugged,USD 4.99,Other,LATEST GUIDE CC/CVV PAYPAL>BTC V2.0,4.9
breadsdrugged,USD 3.99,Hacking,PRINT USPS/FEDEX/CANADA POST LABELS ANONYMOUS,4.9
breadsdrugged,USD 3.99,Genuine,ANTIDETECT 7.3 + FRAUDFOX VM +4000Configs,4.9
mrq1234,USD 3.96,Software,COMPLETE GUIDE TO MAKE MONEY WITH FOREX AND STOCK TRADING- 100$ VALUE!,5.0
HarleyQuinn,USD 2.99,Malware,BTC BlackMailer - Make Millions Remotely - Instant Delivery,4.3
