Product,Vendor,Category,Ship From,Ship To,Sold,Price Range,Price per unit,Payment Options,Shipping
1gr x Custom listing Red,Darkdoctor,Dissociatives > Ketamine,Germany,Worldwide,1,1100 EUR,,,
150gr x Custom listing Re***Y,Tripper,Ecstasy > MDMA,Germany,Worldwide,1,300 EUR,2 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
1-1000gr x ????Ketamine Sugar Isomer India / By Tripper ????,Tripper,Dissociatives > Ketamine,Germany,Worldwide,1,8-2225 EUR,2 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
1-100gr x ?Heroin Afghan Pure Untouched AAA+ ?LordoftheRings?,LordoftheRings,Opioids > Heroin,Germany,Worldwide,6,20-1700 EUR,17 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
5-1000gr x ?MDMA Champagne Rocks 87% Pure ?LordoftheRings?,LordoftheRings,Ecstasy > MDMA,Germany,Worldwide,2,14-1989 EUR,1 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
1-500gr x ?3CMC 3-Chloromethcathinone HQ +++ ?LordoftheRings?,LordoftheRings,Stimulants > Other,Germany,Worldwide,1,12.5-2627 EUR,5 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
1-1000gr x S-ISOMER MEDICAL GRADE NEEDLE KETAMINE 83%,dutchquality,Dissociatives > Ketamine,Europe,Worldwide,6,9.99-3500 EUR,3 EUR for 1gr,,
1-25gr x COLOMBIAN COCAINE 89% �FINGERS�,dutchquality,Stimulants > Cocaine,Europe,Worldwide,3,50-1000 EUR,40 EUR for 1gr,,
1-1000gr x 3-MMC METHAPHEDRONE 92%,dutchquality,Stimulants > 3-MMC,Europe,Worldwide,1,12-4000 EUR,4 EUR for 1gr,,
1-1000gr x R-ISOMER SUGAR KETAMINE 81%,dutchquality,Dissociatives > Ketamine,Europe,Worldwide,7,9.99-3500 EUR,3 EUR for 1gr,,
50pls x 50x XANAX GG249 Xanax 3mg Bars| Pharma Grade Best,topkittzz,Benzos > Xanax,United States,United States,1,190 USD,3 USD for 1pls,,
3.5-28gr x Pure Dried Speed Amphetamine,NextGeneration,Stimulants > Amphetamine,United Kingdom,Europe,8,20-140 GBP,5 GBP for 1gr,,
1pks x CYTA-MED (Testosterone Cypionate 300 MG/ML) BIONICHE PHARMA,MultiPharma,Steroids > Injectable,Europe,Europe and 1 more,1,40 EUR,,,
1-1000gr x Ketamine S-Isomer Shards,filthyfellas,Dissociatives > Ketamine,United Kingdom,Worldwide,1,10-2715 GBP,2 GBP for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
1-25pks x Diazepam / Valium 10mg - 28 Per Pack,filthyfellas,Benzos > Pills,United Kingdom,Worldwide,4,20-315 GBP,12 GBP for 1pks, Escrow MultiSig,Shipping Stealth Quality Commo
5-1000pls x 220mg Green Gucci Ecstasy Pills!!,filthyfellas,Ecstasy > Pills,United Kingdom,Worldwide,5,10-800 GBP,0 GBP for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
3.5-2000gr x HIGH QUALITY SPEED AMPHETAMINE PASTE,filthyfellas,Stimulants > Amphetamine,United Kingdom,Worldwide,2,15-1495 GBP,0 GBP for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
1-20pcs x EDIBLES YUMMY GUMMY BEARS � 50 THC each,GreenTherapist,Cannabis > Edibles,United Kingdom,Europe and 5 more,1,5-65 GBP,3 GBP for 1pcs,,
1pcs x PREMIUM BOLIVIAN COCAINE 92% 0.5g,GreenTherapist,Stimulants > Cocaine,United Kingdom,Europe and 5 more,2,50 GBP,,,
1-28gr x Chempie- Dispensary Grade Bud Out of stock,298_Kelvin,Cannabis > Buds/Flowers,Portugal,Europe,7,11-224 EUR,8 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
1-28gr x Cinnamon Rollz- Dispensary Grade Bud,298_Kelvin,Cannabis > Buds/Flowers,Portugal,Europe,40,11-224 EUR,8 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
2-5ml x THC RSO / FECO - ISO extracted,TheHealingWave,Cannabis > Edibles,Europe,Europe,1,60-105 EUR,21 EUR for 1ml, Escrow MultiSig,Shipping Stealth Quality Commo
1pcs x 14g Super Lemon Haze Dust Shake Trim � 56,maurelius,Cannabis > Shake,United Kingdom,Worldwide,1,56 GBP,,,
1pcs x 14g Star Dawg � 103.6,maurelius,Cannabis > Buds/Flowers,United Kingdom,Worldwide,3,103.6 GBP,,,
1pcs x 7g Bubblegum Dust Shake Trim � 22.75,maurelius,Cannabis > Shake,Spain,Worldwide,1,22.75 GBP,,,
1pcs x 7g White Widow x Critical Dust Shake Trim � 22.75,maurelius,Cannabis > Shake,Spain,Worldwide,1,22.75 GBP,,,
1pcs x 7g Gelato Dust Shake Trim � 29,maurelius,Cannabis > Shake,United Kingdom,Worldwide,2,29 GBP,,,
1pcs x 7g Bubblegum � 42,maurelius,Cannabis > Buds/Flowers,Spain,Worldwide,1,42 GBP,,,
