Product,Vendor,Category,Ship From,Ship To,Sold,Price Range,Price per unit,Payment Options,Shipping
10-10000tb x [10x - 10K] [NL-EU] DRAGONBALLZ LSD NEEDLEPOINT 240 UG,DopingDuck,Psychedelics > LSD,Netherlands,Europe,1,55-13200 EUR,1 EUR for 1tb, Escrow MultiSig,Shipping Stealth Quality Commo
0.5-1000gr x [0.5G-1KG][NL-EU] MEXICAN CRYSTAL METH 99% / NINJA STEALTH,DopingDuck,Stimulants > Meth,Netherlands,Europe,1,55-14500 EUR,14 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
2-500gr x Bestbenzos Champagne MDMA,citybars,Ecstasy > MDMA,United States,United States,1,100-10020 USD,20 USD for 1gr,,
10-100ml x THC Vape E-Liquid *SUPER STRONG*,LaLiLuLeLoKill,Cannabis > Concentrates,United Kingdom,Worldwide,4,35-210 GBP,2 GBP for 1ml, Escrow MultiSig,Shipping Stealth Quality Commo
60pls x RITALIN 10MG 60PILLS (IFA),PharmacyL,Benzos > Pills,United States,United States,2,150 USD,2 USD for 1pls,,
60pls x CLONAZEPAM 2mg RIVOTRIL 60PILLS !FREE SHIPPING!?,PharmacyL,Prescription > Sleep Aids,United States,United States,10,171 USD,2 USD for 1pls,,
120pls x Tramadol Paliadol 100mg 100 pills ?!+ 20 PILLS FREE!?,PharmacyL,Opioids > Pills,United States,United States,2,100 USD,0 USD for 1pls,,
50pls x VALIUM DIAZEPAM 10MG 50 PILLS (IFA),PharmacyL,Prescription > Muscle Relaxers,United States,United States,2,150 USD,3 USD for 1pls,,
4gr x 4g-28g COCAINE 98% PURE FISHCALE DISCOUNT LISTINGS!!FREE SHIPPIN,PharmacyL,Stimulants > Cocaine,United States,United States,1,180 USD,45 USD for 1gr,,
1-600tb x 150ug LSD blotter tabs = GammaGoblin Flower of Light,BrainCandy,Psychedelics > LSD,United States,United States,17,4-900 USD,1 USD for 1tb, Escrow MultiSig,Shipping Stealth Quality Commo
10pls x 2C-B.,KantFr,Psychedelics > 2C-B,France,Worldwide,3,40 EUR,4 EUR for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
10-500ml x E-liquide Classic: 30% THC =,KantFr,Cannabis > Vape Carts,France,Worldwide,1,63.5-2100 EUR,4 EUR for 1ml, Escrow MultiSig,Shipping Stealth Quality Commo
1-100gr x Ketamine Needles,KantFr,Dissociatives > Ketamine,France,Worldwide,18,16-750 EUR,7 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
10-25pks x LSD 200UG :,KantFr,Psychedelics > LSD,France,Worldwide,4,45-99 EUR,3 EUR for 1pks, Escrow MultiSig,Shipping Stealth Quality Commo
1-10pls x Ritaline 40mg LP,KantFr,Stimulants > Other,France,Worldwide,1,15-100 EUR,10 EUR for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
1pcs x 7g CRYSTAL METH - SUPER SALE! FREE SHIPPING!,iAmKaws,Stimulants > Meth,United States,United States,2,50 USD,,,
1pcs x 28g 1 oz CRYSTAL METH - SUPER SALE! FREE SHIPPING!,iAmKaws,Stimulants > Meth,United States,United States,2,160 USD,,,
1-448gr x CRYSTAL METH - SUPER SALE! FREE SHIPPING!,iAmKaws,Stimulants > Meth,United States,United States,14,35-1700 USD,3 USD for 1gr,,
1-2pls x Oxycodone,dionysos,Opioids > OxyCodone,Austria,Worldwide,1,20-40 EUR,20 EUR for 1pls, Escrow FE,Shipping Stealth Quality Commo
0.5-20gr x High Quality AFGHAN Heroine #3 UNCUT 90%,theodormorell,Opioids > Heroin,Netherlands,Worldwide,5,27.5-829 EUR,41 EUR for 1gr,,
1-100gr x Moroccan Beldia Hash,theodormorell,Cannabis > Hash,Netherlands,Worldwide,1,10-380 EUR,3 EUR for 1gr,,
1gr x ****SALE**** 1GR FOR 50EU Colombian cocaine flakes 90%,theodormorell,Stimulants > Cocaine,Netherlands,Worldwide,6,50 EUR,,,
1pks x FREE SAMPLE High Quality AFGHAN Heroine #3 UNCUT 90%,theodormorell,Opioids > Heroin,Netherlands,Worldwide,8,1 EUR,,,
1pks x FREE SAMPLE Crystal Meth Ice Shards 99% Pure EPHEDRINE,theodormorell,Stimulants > Meth,Netherlands,Worldwide,7,1 EUR,,,
1-50gr x 3-MMC Metaphedrone 97% PURE,theodormorell,Stimulants > 3-MMC,Netherlands,Worldwide,2,9-250 EUR,5 EUR for 1gr,,
0.5-28gr x High Quality AFGHAN Heroine #2 75%,theodormorell,Opioids > Heroin,Netherlands,Worldwide,2,15-672 EUR,24 EUR for 1gr,,
1-250tb x Californian Sunshine LSD BLOTTERS 220UG,theodormorell,Psychedelics > LSD,Netherlands,Worldwide,2,2.5-400 EUR,1 EUR for 1tb,,
1-50gr x High Quality AFGHAN Heroine #1 55%,theodormorell,Opioids > Heroin,Netherlands,Worldwide,15,18-650 EUR,13 EUR for 1gr,,
0.2-14gr x HighQuality Crack Cocaine 90%,theodormorell,Stimulants > Crack,Netherlands,Worldwide,2,13-742 EUR,53 EUR for 1gr,,
1-250pls x DUTCH XTC 300MG MDMA,theodormorell,Ecstasy > Pills,Netherlands,Worldwide,8,2.75-363 EUR,1 EUR for 1pls,,
1pcs x Testosterone Propionate 100mg/ml 10ml Vial USA Domestic,atomics,Steroids > Injectable,United States,United States,1,15 USD,,,
1pcs x Winstrol (Stanozolol) 100mg/ml 10ml Vial USA Domestic,atomics,Steroids > Injectable,United States,United States,1,20 USD,,,
1pcs x Testosterone Enanthate 300mg/ml 10ml Vial USA Domestic,atomics,Steroids > Injectable,United States,United States,2,25 USD,,,
1pcs x Deca-Durabolin (Nandrolone Decanoate) 300mg/ml 10ml Vial USA,atomics,Steroids > Injectable,United States,United States,3,35 USD,,,
1pcs x Sustanon (testosterone blend) 300mg/ml 10ml Vial USA Domestic,atomics,Steroids > Injectable,United States,United States,4,25 USD,,,
1pcs x Testosterone Cypionate 300mg/ml 10ml Vial USA Domestic,atomics,Steroids > Injectable,United States,United States,9,25 USD,,,
1pcs x Durabolin (Nandrolone Phenylpropionate) 100mg/ml 10ml Vial USA,atomics,Steroids > Injectable,United States,United States,1,20 USD,,,
1pcs x HCG - Human Chorionic Gonadotropin 5000iu one vial USA Domestic,atomics,Steroids > Post Cycle Therapy,United States,United States,4,35 USD,,,
0.5-50gr x Afghan Heroin 91%,jessybakery,Opioids > Heroin,Netherlands,Worldwide,3,20-1500 EUR,30 EUR for 1gr,,
1pcs x FREE SAMPLE Afghan Heroin 91%,jessybakery,Opioids > Heroin,Netherlands,Worldwide,7,1 EUR,,,
1pcs x FREE SAMPLE MDMA 89% Pure Champagne,jessybakery,Ecstasy > MDMA,Netherlands,Worldwide,2,1 EUR,,,
1pcs x FREE SAMPLE Crack Cocaine 89%,jessybakery,Stimulants > Crack,Netherlands,Worldwide,2,1 EUR,,,
1-50ml x DMT vape cart,IntegralAlchemist,Psychedelics > DMT,Canada,Canada,1,77-2885 USD,57 USD for 1ml,,
1-28gr x High quality Bolivian cocaine 95% SALE,KindPeople,Stimulants > Cocaine,United States,United States,8,75-1456 USD,52 USD for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
1-28gr x Ketamine S-Isomer,KindPeople,Dissociatives > Ketamine,United States,United States,13,63-1624 USD,58 USD for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
1-75pls x XTC Orange Tesla - 220MG,KindPeople,Ecstasy > Pills,United States,United States,22,16-750 USD,10 USD for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
1-500pls x B974 Adderall - 30MG,KindPeople,Stimulants > Adderall,United States,United States,3,4-1000 USD,2 USD for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
1-50pls x Xanax Farmapram Alprazolam - 2mg,KindPeople,Benzos > Xanax,United States,United States,1,9-225 USD,4 USD for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
1-85.05gr x Cocaine Panamanian 91%,KindPeople,Stimulants > Cocaine,United States,United States,31,70-3277 USD,38 USD for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
10-50tb x SMALL QTY PURPLE GOLD DUST PYRAMID GEL TABS LSD 25 WHITEFLUFF,FunnyBones,Psychedelics > LSD,United States,United States,1,40-125 USD,2 USD for 1tb,,
1pcs x ONE VIAL LIQUID LSD 25 WHITEFLUFF,FunnyBones,Psychedelics > LSD,United States,United States,3,200 USD,,,
100tb x 100 PURPLE GOLD DUST PYRAMID GEL TABS LSD 25 WHITEFLUFF,FunnyBones,Psychedelics > LSD,United States,United States,3,200 USD,2 USD for 1tb,,
1-100gr x SUPER LEMON HAZE,TheItalianJob,Cannabis > Buds/Flowers,Italy,Worldwide,2,10-800 EUR,8 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
1-28gr x UK Grown Grape Ape 1g - 28g - Organically Grown and Lab Tested,thatguyforbud,Cannabis > Buds/Flowers,United Kingdom,United Kingdom,3,10-155 GBP,5 GBP for 1gr,,
1-10pks x EDIBLES UK - THATGUYS GUMMIES - 500MG LAB TESTED,thatguyforbud,Cannabis > Edibles,United Kingdom,United Kingdom,8,17.5-110 GBP,11 GBP for 1pks,,
100-400pls x Rivotril 2mg Galenika(GER) CLONAZEPAM,marshall,Benzos > Pills,Germany,Worldwide,1,89-280 EUR,0 EUR for 1pls,,
"100-300pls x Zopiclone 7,5mg",marshall,Benzos > Pills,Germany,Worldwide,1,80-210 EUR,0 EUR for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
14-84pls x Subutex - BUPRENORPHINE 8mg (GER),marshall,Opioids > Buprenorphine,Germany,Worldwide,2,120-600 EUR,7 EUR for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
1oz x 1OZ( 28Gr) UNCUT RAW CRYSTAL METH,wallstreetbets,Stimulants > Meth,United States,United States,2,120 USD,,,
1gr x 1 gram Amphetamine powder,wallstreetbets,Stimulants > Amphetamine,United States,United States,1,30 USD,,Escrow FE MultiSig,Shipping Stealth Quality Commo
1oz x (1oz) THC Top Shelf Sugar,wallstreetbets,Cannabis > Concentrates,United States,United States,5,50 USD,,,
1pcs x Spore Print Psilocybe Cubensis var. Cambodia,ash_williams,Psychedelics > Shrooms,Europe,Worldwide,1,25 USD,,,
1pcs x Spore Print Psilocybe Cubensis Mexican Dutch King,ash_williams,Psychedelics > Shrooms,Europe,Worldwide,2,25 USD,,,
1pcs x 28 grams of dried shrooms- magicmushrooms PSILOCYBE CUBENSIS st,DRshrooms,Psychedelics > Shrooms,Europe,Germany and 39 more,1,90 USD,,,
1pcs x 56 grams of dried shrooms- magicmushrooms PSILOCYBE CUBENSIS st,DRshrooms,Psychedelics > Shrooms,Europe,Germany and 39 more,5,150 USD,,,
1pcs x 11 grams of dried shrooms- magicmushrooms PSILOCYBE CUBENSIS st,DRshrooms,Psychedelics > Shrooms,Europe,Germany and 39 more,5,50 USD,,,
"1-7570ml x 1,4 BUTANEDIOL 100ML-2 Gallons BDO (GHB-PRODRUG) USA DOMESTIC",14bdoking,Dissociatives > GHB,United States,United States,1,0.8-4380 USD,0 USD for 1ml,,
1-1000gr x Ketamine R shards 99% (FREE SHIPPING),TopShellNL,Dissociatives > Ketamine,Germany,Worldwide,3,25-9900 EUR,9 EUR for 1gr,,
1-1000gr x (1g-1000g) Pure 2C-B powder (FREE SHIPPING),TopShellNL,Psychedelics > 2C-B,Germany,Worldwide,6,80-39000 EUR,39 EUR for 1gr,,
2-14gr x Tutankhamon,GreenLanternUK,Cannabis > Buds/Flowers,United Kingdom,United Kingdom,3,14-98 GBP,7 GBP for 1gr,,
1pls x 20mg Instant Release Ritalin,UKMeds4all,Prescription > ADHD,United Kingdom,Worldwide,1,14.99 GBP,,,
3.5-56gr x SHARDS OF PURE **S-ISOMER** KETAMINE,RANSOM12C,Dissociatives > Ketamine,United States,United States,6,210-1950 USD,34 USD for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
1gr x CALI RUNTZ PROMO 5EUR/GR,DolceGusto,Cannabis > Buds/Flowers,France,Europe,1,5 EUR,,,
10-300pls x Cenforce 100 - 10 pills of generic Viagra 100 mg,kamagra4bitcoin,Prescription > ED Sex Meds,Europe,United States and 24 more,1,4.5-120 EUR,0 EUR for 1pls, Escrow FE,MultiSig Shipping Stealth Quality Commo
10-100pls x Vidalista 20- 10 pills of generic Cialis 20 mg,kamagra4bitcoin,Prescription > ED Sex Meds,Europe,United States and 24 more,3,5.99-40 EUR,0 EUR for 1pls, Escrow FE,MultiSig Shipping Stealth Quality Commo
5-50pls x Cobra 120 - 5 pills of generic Viagra 120 mg,kamagra4bitcoin,Prescription > ED Sex Meds,Europe,United States and 24 more,2,3-25 EUR,0 EUR for 1pls, Escrow FE,MultiSig Shipping Stealth Quality Commo
10-100pls x Modvigil 200- 10 pills of Modafinil 200 mg,kamagra4bitcoin,Prescription > Nootropics,Europe,United States and 24 more,4,9-69 EUR,0 EUR for 1pls, Escrow FE,MultiSig Shipping Stealth Quality Commo
1-25pcs x Feminized Seeds or Female Autoflower Seeds of Your Choice,greenpirate,Cannabis > Seeds,Europe,Worldwide,2,4-80 USD,3 USD for 1pcs,,
1-30pls x Adderall 20mg IR - REAL Authentic Pharmacy Pills,tiptopshop,Stimulants > Adderall,United States,United States and 1 more,4,28-599 USD,19 USD for 1pls,,
1-100tb x Suboxone 8mg/2mg brand-name films,tiptopshop,Opioids > Buprenorphine,United States,United States,2,18-1198 USD,11 USD for 1tb,,
0.25-5gr x ICE/Methamphetamine,theprofessionals,Stimulants > Meth,Australia,Australia,2,81-1321 AUD,264 AUD for 1gr,,
1-20pks x S903 Green Hulks Clonazolam bars 3mg dose 25 pills packs,Psyit,Benzos > Pills,United States,United States,1,59-809 USD,40 USD for 1pks, Escrow MultiSig,Shipping Stealth Quality Commo
1-250pks x 4ACO-DMT Powder High Quality US to US (100mg Packs),Psyit,Psychedelics > DMT,United States,United States,2,40-2750 USD,11 USD for 1pks, Escrow MultiSig,Shipping Stealth Quality Commo
1-10pls x Pink Pigs 225mg+ of MDMA,Cookiesncream,Ecstasy > Pills,United States,United States,1,7.5-75 USD,7 USD for 1pls,,
1-1000gr x 3-MMC Metaphedrone 99% ***FREE SHIPPING***,RoyalDutchBakery,Stimulants > 3-MMC,Germany,Europe and 5 more,2,25-5900 EUR,5 EUR for 1gr,,
10-2000pls x 2mg Alprazolam Xanax pills ***FREE SHIPPING***,RoyalDutchBakery,Benzos > Xanax,Germany,Europe and 5 more,2,30-2100 EUR,1 EUR for 1pls,,
0.25-250gr x 2C-B Hydrochloride 99% ***FREE SHIPPING***,RoyalDutchBakery,Psychedelics > 2C-B,Germany,Europe and 5 more,8,30-10750 EUR,43 EUR for 1gr,,
1-1000gr x 4-MMC Mephedrone 99% ***FREE SHIPPING***,RoyalDutchBakery,Stimulants > Other,Germany,Europe and 5 more,1,25-8400 EUR,8 EUR for 1gr,,
0.5-1000gr x Crystal Meth 98% ***FREE SHIPPING***,RoyalDutchBakery,Stimulants > Meth,Germany,Europe and 5 more,2,25-16000 EUR,16 EUR for 1gr,,
0.5-250gr x Colombian Cocaine 89% ***FREE SHIPPING***,RoyalDutchBakery,Stimulants > Cocaine,Germany,Europe and 5 more,2,40-12500 EUR,50 EUR for 1gr,,
5-1000gr x Dutch Speed powder 76% ***FREE SHIPPING***,RoyalDutchBakery,Stimulants > Amphetamine,Germany,Europe and 5 more,1,30-2000 EUR,2 EUR for 1gr,,
"1pcs x New ""Secrets of Methamphetamine Manufacture""",Threadhuge,Other Drugs > Paraphernalia,,Worldwide,1,12 USD,,,
1pks x 25 Flubromazepam (4mg tabs) FE Only,MedIndia1,Benzos > Pills,United Kingdom,United Kingdom,1,19 GBP,,,
1-10gr x Cocaine 88% KOKAINA InPost PACZKOMATY,DrugsWorld,Stimulants > Cocaine,Poland,Poland,2,89-769 USD,76 USD for 1gr,,
10-100gr x Marihuana AMNESIA 23% THC Weed BUDS InPost PACZKOMATY,DrugsWorld,Cannabis > Buds/Flowers,Poland,Poland,3,129-889 USD,8 USD for 1gr,,
1-100gr x DPT HCl ( NEW BULK DISCOUNTS. LOW AS 50/G),psychonut,Psychedelics > DPT,United States,United States and 1 more,10,100-5000 USD,50 USD for 1gr, Escrow FE,MultiSig Shipping Stealth Quality Commo
50-1000pls x Ecstacy Pills - 250mg-300mg,psychonut,Ecstasy > Pills,United States,United States and 1 more,2,550-6000 USD,6 USD for 1pls,,
"28-1000gr x MDMA (Priority, Escrow) (starting at 600/oz!)",psychonut,Ecstasy > MDMA,United States,United States and 1 more,2,600-16000 USD,16 USD for 1gr, Escrow FE,MultiSig Shipping Stealth Quality Commo
1-56gr x MDA,psychonut,Ecstasy > MDA,United States,United States,1,100-2500 USD,44 USD for 1gr, Escrow FE,MultiSig Shipping Stealth Quality Commo
1-100gr x Super Lemon HAZE,WeedPhantomOriginal,Cannabis > Buds/Flowers,Germany,Worldwide,5,15-600 EUR,6 EUR for 1gr,,
1-100gr x Gorilla Glue A***,WeedPhantomOriginal,Cannabis > Buds/Flowers,Germany,Worldwide,4,15-600 EUR,6 EUR for 1gr,,
1-100gr x Girl Scout Cookies,WeedPhantomOriginal,Cannabis > Buds/Flowers,Germany,Worldwide,1,15-590 EUR,5 EUR for 1gr,,
1-100gr x Jack Herer,WeedPhantomOriginal,Cannabis > Buds/Flowers,Germany,Worldwide,8,15-600 EUR,6 EUR for 1gr,,
1-100gr x ?Top? ?Amnesia Haze? HIGH THC,WeedPhantomOriginal,Cannabis > Buds/Flowers,Germany,Worldwide,2,15-600 EUR,6 EUR for 1gr,,
1-100gr x ?Premium? ?Super Silver Haze ?A+++,WeedPhantomOriginal,Cannabis > Buds/Flowers,Germany,Worldwide,3,15-600 EUR,6 EUR for 1gr,,
10pls x 10x 70mg Elvanse Lisdex Capsule - Worldwide Shipping,DigitalSin,Stimulants > Vyvanse,Netherlands,Worldwide,4,130 EUR,13 EUR for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
5pls x 5x pills Dexamphetamine 10mg - Original Pharmacy! - Shipping wo,DigitalSin,Stimulants > Adderall,Netherlands,Worldwide,1,30 EUR,6 EUR for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
20pks x [INTRO OFFER] 20x Oxycodone 20mg(LR) [Free Shipping!],DigitalSin,Opioids > OxyCodone,Netherlands,Worldwide,4,140 EUR,7 EUR for 1pks, Escrow MultiSig,Shipping Stealth Quality Commo
5pls x 5x pills Ritalin 10mg - Original Pharmacy! - Shipping worldwide!,DigitalSin,Prescription > ADHD,Netherlands,Worldwide,1,20 EUR,4 EUR for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
2pls x 2x pills Oxycodone 10mg Slow Release - Original Pharmacy! - Ship,DigitalSin,Opioids > OxyCodone,Netherlands,Worldwide,1,12 EUR,6 EUR for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
15pls x 15x pills Oxycodone 10mg Slow Release - Original Pharmacy!,DigitalSin,Opioids > OxyCodone,Netherlands,Worldwide,3,45 EUR,3 EUR for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
5pls x 5x pills Oxycodone 10mg Slow Release - Original Pharmacy! - Ship,DigitalSin,Opioids > OxyCodone,Netherlands,Worldwide,1,25 EUR,5 EUR for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
3pls x 3x pills 20mg Ritalin / Methylphenidate - Original Pharmacy!,DigitalSin,Prescription > ADHD,Netherlands,Worldwide,1,24 EUR,8 EUR for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
1-1000gr x Ketamine S-isomer Needles 100% pure,ketocrisis,Dissociatives > Ketamine,United Kingdom,Europe and 4 more,2,16-7000 GBP,7 GBP for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
5-320gr x Pure Dry Speed High Quality,ketocrisis,Stimulants > Amphetamine,United Kingdom,Worldwide,4,17.5-640 GBP,2 GBP for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
5-500pcs x Red Label MDMA XTC pills 250mg pure,ketocrisis,Ecstasy > Pills,United Kingdom,Worldwide,2,23.75-1000 GBP,2 GBP for 1pcs, Escrow MultiSig,Shipping Stealth Quality Commo
2-1000pls x XTC MDMA Pills 300mg High Purity,Stevemanner,Ecstasy > Pills,United States,Worldwide,1,15-20000 USD,7 USD for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
5-400pls x Oxycodone 80mg Pharma Grade pills,Stevemanner,Opioids > OxyCodone,United States,Worldwide,1,20-2400 USD,4 USD for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
7gr x 7 Grams (1/4 OZ) High Quality Crystal Meth,OGServices,Stimulants > Meth,United States,United States,10,50 USD,7 USD for 1gr,,
3.5gr x 3.5 Grams (1/8 OZ) of High Quality Fishscale Cocaine,OGServices,Stimulants > Cocaine,United States,United States,3,180 USD,51 USD for 1gr,,
14gr x 14 Grams (1/2 OZ) High Quality Crystal Meth,OGServices,Stimulants > Meth,United States,United States,11,90 USD,6 USD for 1gr,,
3.5gr x 3.5 Grams (1/8 OZ) High Quality Crystal Meth,OGServices,Stimulants > Meth,United States,United States,9,35 USD,10 USD for 1gr,,
500-10000mg x PURE MESCALINE HCl (POWDER) HQ FROM ALEXANDER SHULGIN,Shulginalex,Psychedelics > Mescaline,Slovakia,Worldwide,2,49-650 USD,0 USD for 1mg, Escrow MultiSig,Shipping Stealth Quality Commo
5tb x LSD Albert Hoffman 300ug VERY STRONG,Trustkid45,Psychedelics > LSD,United States,Worldwide,1,25 USD,5 USD for 1tb, Escrow MultiSig,Shipping Stealth Quality Commo
8pls x xanax and other pills available,Trustkid45,Opioids > Pills,United States,Worldwide,1,15 USD,1 USD for 1pls, Escrow MultiSig,Shipping Stealth Quality Commo
1pls x M.D.M.A Pills,Trustkid45,Ecstasy > MDMA,United States,Worldwide,1,15 USD,,,
1-50pks x Pure Etizolam Powder (100 mg packs) - USA to USA local delivery,cannedgoods,Benzos > Powder,United States,United States,3,89-689 USD,13 USD for 1pks,,
20-1000tb x R039 Yellow Schoolbuses - 3.2mg Alprazolam,cannedgoods,Benzos > Pills,United States,United States,1,49-1600 USD,1 USD for 1tb,,
20-1000tb x Xanax bars Blue B707 - 3.2mg Flualprazolam,cannedgoods,Benzos > Pills,United States,United States,2,49-1600 USD,1 USD for 1tb,,
1-50pks x Pure Flualprazolam Powder (100 mg packs) - USA to USA local,cannedgoods,Benzos > Powder,United States,United States,1,99-699 USD,13 USD for 1pks, Escrow FE,Shipping Stealth Quality Commo
1-100tb x Diazepam Generic 10mg tabs loose - US to US local delivery,cannedgoods,Benzos > Pills,United States,United States,1,5-480 USD,4 USD for 1tb,,
5-100tb x Cannedgoods 125ug LSD tabs - Perfect for microdosing,cannedgoods,Psychedelics > LSD,United States,United States,1,25-500 USD,5 USD for 1tb,,
1-5000gr x ? 3-MMC MEPHEDRONE ? LAB TESTED ? [FREE SHIPPING] ?,DutchPharmacist1,Stimulants > Mephedrone,Germany,Worldwide,3,18-14000 EUR,2 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
10-10000pcs x ? XTC 200MG POKEMON ? LAB TESTED ? [FREE SHIPPING] ?,DutchPharmacist1,Ecstasy > Pills,Germany,Worldwide,4,25-8000 EUR,0 EUR for 1pcs, Escrow MultiSig,Shipping Stealth Quality Commo
1-1000gr x ? KETAMINE SHINE NEEDLES ? LAB TESTED ? [FREE SHIPPING] ?,DutchPharmacist1,Dissociatives > Ketamine,Germany,Worldwide,1,15-3000 EUR,3 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
10-10000pcs x ? HAPPYSUN LSD BLOTTERS 180UGL ? LAB TESTED ? [FREE SHIPPING] ?,DutchPharmacist1,Psychedelics > LSD,Germany,Worldwide,9,25-8000 EUR,0 EUR for 1pcs, Escrow MultiSig,Shipping Stealth Quality Commo
75-10000ml x ? DUTCH GHB HIGH PURITY ? LAB TESTED ? [FREE SHIPPING] ?,DutchPharmacist1,Dissociatives > GHB,Germany,Worldwide,5,75-3500 EUR,0 EUR for 1ml, Escrow MultiSig,Shipping Stealth Quality Commo
0.5-100gr x ? PURE BOLIVIAN COCAINE 87% ? LAB TESTED ? [FREE SHIPPING] ?,DutchPharmacist1,Stimulants > Cocaine,Germany,Worldwide,3,40-3500 EUR,35 EUR for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
1pls x OPENING SALE!! *TEVA Adderall 20mg IR *100% PHARM SOURCED,DoctorSuess,Stimulants > Adderall,United States,United States,9,16 USD,,,
2.5-100gr x Hash Haze prenium quality,whitedrive,Cannabis > Hash,France,Worldwide,1,10-250 EUR,2 EUR for 1gr,,
0.15gr x FREE SAMPLE NL Cocain Out of stock,whitedrive,Stimulants > Cocaine,France,Worldwide,2,0.5 EUR,3 EUR for 1gr,,
0.5-1000gr x [FE] 0.5G - 1 KG COCAINE | COLOMBIAN 91% | EU-EU| GHOST STEALTH,PartyDrugNL,Stimulants > Cocaine,Netherlands,Europe,1,50-36000 EUR,36 EUR for 1gr, FE MultiSig,Shipping Stealth Quality Commo
5-10000gr x [FE] 5G - 10 KG DUTCH SPEED / AMPHETAMINE PASTE / GHOST NL-EU,PartyDrugNL,Stimulants > Amphetamine,Netherlands,Europe,4,50-9800 EUR,0 EUR for 1gr, FE MultiSig,Shipping Stealth Quality Commo
1-5000gr x [FE] 1G - 5 KG KETAMINE NEEDLE S-ISOMER PURE / GHOST NL-EU,PartyDrugNL,Dissociatives > Ketamine,Netherlands,Europe,1,45-19250 EUR,3 EUR for 1gr, FE MultiSig,Shipping Stealth Quality Commo
2-28gr x FREEBIES !! Pure Ketamine Shards,TheMiddleMan,Dissociatives > Ketamine,United Kingdom,United Kingdom,1,26-235 GBP,8 GBP for 1gr,,
3.5-28gr x FREEBIES & PROMO 21g-57GBP!! Pure Speed Amphetamine 3.5g-28g,TheMiddleMan,Stimulants > Amphetamine,United Kingdom,United Kingdom,1,19-135 GBP,4 GBP for 1gr,,
10-5000tb x LSD 220ug (DS-3.0 xtl CC Print) -10% DISCOUNT NOW ACTIVE,GungaDin,Psychedelics > LSD,United Kingdom,United Kingdom,4,28.71-10395 USD,2 USD for 1tb,,
"1-50pks x 100 mg B. alvarius dry venom, 5 meo dmt,usa,uk,ww",boomshankar,Psychedelics > 5-MeO-DMT,North America,Europe and 5 more,1,30-1000 USD,20 USD for 1pks,,
3.5-28gr x Organic Golden Teacher Magic Mushroom Powder,ShroomTown,Psychedelics > Shrooms,United States,Worldwide,2,25-85 USD,3 USD for 1gr,,
4gr x 4G PURE FISHSCALE COCAINE 90% DOS EQUIS STAMP,ICANTFEELMYFACE,Stimulants > Cocaine,United States,Worldwide,2,190 USD,47 USD for 1gr, Escrow MultiSig,Shipping Stealth Quality Commo
1pcs x PURE GHB LIQUID 100ML / FREE SHIPPING,Thuggaking54,Dissociatives > GHB,United States,United States,1,155 USD,,,
1pks x High quailty crystal meth 28g uncut Crystal Meth,Thuggaking54,Stimulants > Meth,United States,United States,1,196 USD,,,
1gr x Best Pure pharmaceutical synthetic DMT Crystal 1g,Thuggaking54,Psychedelics > DMT,United States,United States,1,90 USD,,,
1tb x ??? Diazepam 10mg - ratiopharm (1 Tab/Blister 10 Pills),DrugStoreEuro,Benzos > Pills,Germany,Europe,3,19 EUR,,,
1pks x ???Tilidin 200/16mg (1x Pack 10 Pills) GER to EU,DrugStoreEuro,Benzos > Pills,Germany,Europe,2,25 EUR,,,
1tb x ???GERMAN MEDIC Alprazolam 1mg - Ratiopharm(1x Tab 10 Pills),DrugStoreEuro,Benzos > Pills,Germany,Europe,1,19 EUR,,,
1-1000pcs x XTC PILLS - 250MG MDMA,SuperMarioTM,Ecstasy > Pills,France,Worldwide,4,10-1800 EUR,1 EUR for 1pcs, Escrow MultiSig,Shipping Stealth Quality Commo
